,Protein.IDs,REF1,REF2,REF3,Temp36_1,Temp36_2,Temp33_1,Osmo0.4_1,Osmo0.4_2,Osmo0.4_3,Osmo0.2_1,Osmo0.2_2,Osmo0.2_3,Osmo0.6_1,Osmo0.6_2,Osmo0.6_3,EtOH20_1,EtOH60_1,EtOH20_2,EtOH20_3,EtOH60_2,EtOH40_1,EtOH40_2,EtOH40_3,EtOH60_3,Temp33_2,Temp33_3,Temp38_1,Temp38_2,Temp38_3,Temp36_3,Osmo0.8_1,Osmo0.8_2,Osmo0.8_3,Osmo1.0_2,Osmo1.0_1,Osmo1.2_2,Osmo1.2_1,Osmo1.2_3,Osmo1.3_1,Osmo1.3_2,Osmo1.3_3,Osmo1.4_1
1,A5Z2X5,38175.51319,43588.54396,47198.36854,54330.91695,42272.63963,56699.30914,49173.06295,49635.93693,44361.60136,50601.44967,35295.60202,40950.60297,57461.90539,47928.83789,56875.61639,63591.98274,36581.68552,40691.53005,47830.92002,32196.87377,40896.2387,79334.61218,36899.94757,43836.65131,47702.27941,54711.81233,7717.044647,23674.59322,10678.25093,49140.03596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,D6W196,NA,NA,NA,NA,NA,NA,46.41486576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.13272441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,O13297,114.9681521,104.2983014,105.7656594,86.17688621,99.09123579,94.80744934,100.3490039,NA,80.06295241,98.99653824,133.61087,NA,97.95033969,94.07685612,105.4584726,100.0553774,100.3461449,95.28838643,117.7588465,112.0672438,80.73373003,88.6117025,98.06761445,119.9199639,104.0272127,92.95826806,57.99998912,59.12454825,64.80311572,97.180088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,O13516,3206.879583,3053.664388,5287.268786,4123.568594,3133.968779,3474.346304,3156.891947,6038.736945,2817.917402,3363.127417,NA,3518.24495,3504.309396,3746.952748,4212.825916,3884.159197,1924.804184,6674.94479,4450.955437,2246.642926,2660.41448,3312.240169,3256.415897,2604.867126,4264.350009,3856.813891,2157.84581,3045.511188,2972.108304,3926.660171,3406.614275,4108.446151,3774.91165,NA,3349.990744,3488.974301,3237.83475,3256.793962,3163.652978,4874.838886,3112.815069,1671.948354
5,O13585,NA,NA,NA,NA,136.4754069,NA,138.4234864,NA,NA,NA,NA,NA,NA,110.3671459,NA,NA,199.0195175,127.258886,NA,280.4727228,113.6246181,NA,NA,NA,NA,NA,123.5407243,153.0582918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,O43137,1444.502859,1695.544242,1594.552089,1565.587232,1849.39503,1408.733699,1404.765807,1568.146963,1373.935777,1545.677749,1827.685016,2259.598981,1607.037358,2328.559741,1331.03466,1668.487384,940.4840413,1440.19257,1872.048523,888.4893476,1446.318087,1244.979249,1288.952499,1018.526931,1729.649567,1777.44311,2860.888471,3198.067888,3661.721596,2080.447261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,O74700,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,O94742,NA,NA,NA,323.5878405,NA,386.0698415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.405724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,P00127,55.64676659,52.95552967,62.52651356,52.11216927,43.46206328,43.32737485,53.64740759,47.37775089,60.17455496,49.67384643,60.71663889,NA,51.27970145,NA,NA,64.03048205,53.08181208,64.16405344,66.52839731,49.8502284,59.71048112,77.23149814,118.5547742,85.52233714,47.71785772,47.70372927,12.37359092,30.38285472,17.81692839,44.71184457,1197.109828,1210.995657,1091.119743,1463.938627,1103.748697,1196.849664,1125.401885,1095.705762,1158.516737,951.3546315,590.8567422,508.3214069
12,P00128,24496.31084,26974.75402,30000.89244,23885.8733,26286.78772,30827.47672,32400.83069,33270.77552,31805.62937,31533.16996,26479.85676,33074.82864,25721.8456,29395.90179,33076.07736,35520.84256,34431.93134,34078.34374,38453.4987,37275.49934,39090.04377,55727.12047,41962.16405,40680.07341,29757.34727,30342.74447,3046.937923,11216.91669,3675.165958,30415.43053,51496.76068,47613.85524,50883.21279,52931.89183,52058.40337,50938.22359,44674.94413,48557.26806,49597.6985,47280.93433,49897.6026,24158.16446
14,P00358,3791.155447,3850.207336,5315.219608,4747.767355,5696.739047,3984.224705,5664.967385,7335.441747,4479.945484,6039.141099,4754.677409,6809.3859,7133.699782,8286.378906,9732.158543,2190.846971,5304.489801,3428.449317,2042.022014,5498.995,2228.902989,6652.361536,2659.715027,6215.210258,5906.636489,5847.770155,5750.947241,7651.668614,7418.277225,3887.104743,11112.8921,9788.170994,10407.58698,9954.73969,12655.09813,12451.81384,11472.29245,12226.96174,12666.91504,12159.50238,15273.08087,13524.12054
15,P00359,113972.0385,121732.6641,133560.7263,120868.4121,140465.7279,134392.579,131227.8291,131525.4611,134431.5221,132767.599,121223.7216,150502.2491,128617.4612,127723.3623,136407.875,84777.41016,83684.00139,80440.96974,85748.93632,78764.54715,55958.40814,84238.62776,67019.13146,100313.1375,164424.3072,147852.1816,189420.1855,177289.8377,207173.3054,143941.4157,120589.2804,120295.0965,115834.0476,106038.5812,121441.9679,126728.3861,123073.3543,127202.0448,124299.1379,119994.5571,131869.2191,151996.2839
17,P00410,7337.089915,7866.236712,7373.860807,7613.729382,8799.737405,8539.706151,7549.858805,8483.521185,NA,7963.21989,8662.372505,NA,8190.567031,8382.643873,6741.591287,11821.77758,3006.564512,9325.78225,10884.13452,4412.131924,4769.448915,16478.19223,6715.163687,2944.645561,9070.993796,8516.733962,NA,1626.056856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,P00427,8738.966614,9707.923448,7532.62692,8267.805634,8734.041457,9088.368515,8799.533276,8197.956421,9474.193168,8420.546122,10029.26039,7072.675513,5716.44122,3542.233634,5924.100301,15398.09033,4739.226957,8250.199684,9576.301353,3623.098763,5444.606649,6907.813011,NA,7037.628597,8764.113256,6193.589659,1574.12617,3838.753118,NA,7113.35106,28903.34589,30666.3194,29619.8296,33796.65958,29541.63241,28100.99285,31722.48234,30498.02793,23642.41538,27076.44877,26822.97161,10202.83587
23,P00546,2463.545882,2886.620699,2866.223997,3754.995281,3363.657053,3022.9656,3218.002485,3136.185131,2787.745548,2924.635509,2773.408243,3207.778311,3298.259199,3379.080531,3574.275775,2256.435335,2571.484606,2348.435173,2717.407363,2484.240992,1964.22812,2567.394105,2511.023501,3063.821948,3053.453822,3501.377062,2886.257172,3551.181273,3350.527564,4151.697136,3409.397669,3348.710055,3419.523278,2943.001401,3471.238638,3453.600809,3109.107058,3311.500995,3198.496954,2932.597327,3068.671415,2129.056295
24,P00549,22167.49455,21551.08942,25301.44649,25393.25536,24956.45089,22072.89789,24845.69548,28051.73341,26752.28275,24349.87492,23736.51265,28789.98158,23787.53339,23759.02968,30006.28069,18900.96539,15465.37555,21097.25153,22775.41904,15150.74041,10242.78623,12529.80872,10944.05974,20586.15701,28427.0971,27359.83473,53761.46478,41517.15281,60457.05935,29549.7768,26783.24639,26423.33715,26555.02902,25204.63594,27403.1158,28491.48829,27525.27276,27118.54542,31216.11727,29566.32605,31602.84713,58011.16182
25,P00560,175781.8064,198277.8784,225510.7233,172213.2526,205057.2323,199198.4542,178367.6597,184886.2756,209073.4409,170567.4837,181251.3354,207421.2242,182795.7958,180022.8102,185578.3303,134496.1832,113313.1539,122576.9291,129402.1627,108359.9343,77144.62958,120031.3492,83857.27072,143345.0712,237831.152,232088.7449,276877.3967,232354.6301,301611.8274,217512.2051,117964.9284,108699.0405,107200.5868,100979.4276,112810.1957,122028.6433,112080.9477,117985.4065,109935.6554,101522.4358,113207.2956,89696.31363
26,P00572,NA,381.2507104,NA,378.6595994,296.9019682,NA,347.1227107,NA,553.4621526,364.1242137,NA,NA,293.664215,329.6084273,NA,407.8093162,264.9768508,296.1039421,NA,398.7841656,308.5240616,352.3458263,NA,NA,NA,495.1146089,342.7778469,277.2058522,356.5968905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
